iter	Passed	Remaining
569	8205	6190
570	8218	6174
571	8229	6158
572	8241	6141
573	8252	6124
574	8264	6108
575	8275	6091
576	8290	6077
577	8301	6060
578	8312	6044
579	8324	6027
580	8335	6011
581	8347	5995
582	8358	5978
583	8370	5962
584	8381	5945
585	8393	5929
586	8404	5913
587	8416	5896
588	8427	5880
589	8438	5864
590	8450	5847
591	8461	5831
592	8472	5815
593	8484	5799
594	8496	5783
595	8507	5766
596	8518	5750
597	8530	5734
598	8541	5718
599	8554	5702
600	8565	5686
601	8576	5670
602	8588	5654
603	8599	5638
604	8613	5623
605	8626	5608
606	8637	5592
607	8649	5576
608	8661	5560
609	8672	5544
610	8686	5530
611	8698	5514
612	8709	5498
613	8720	5482
614	8732	5466
615	8744	5451
616	8756	5435
617	8767	5419
618	8779	5403
619	8790	5387
620	8801	5371
621	8813	5355
622	8824	5340
623	8835	5324
624	8847	5308
625	8858	5292
626	8869	5276
627	8881	5260
628	8892	5245
629	8903	5229
630	8915	5213
631	8926	5197
632	8942	5184
633	8955	5169
634	8966	5154
635	8978	5138
636	8989	5122
637	9001	5107
638	9015	5093
639	9026	5077
640	9038	5062
641	9049	5046
642	9060	5030
643	9072	5015
644	9084	5000
645	9095	4984
646	9109	4970
647	9121	4955
648	9133	4939
649	9144	4923
650	9155	4908
651	9167	4892
652	9178	4877
653	9190	4862
654	9201	4846
655	9213	4831
656	9224	4815
657	9235	4800
658	9247	4784
659	9258	4769
660	9270	4754
661	9281	4738
662	9292	4723
663	9304	4708
664	9315	4692
665	9326	4677
666	9337	4661
667	9352	4648
668	9364	4633
669	9376	4618
670	9387	4602
671	9398	4587
672	9410	4572
673	9421	4557
674	9433	4541
675	9444	4526
676	9456	4511
677	9467	4496
678	9479	4481
679	9491	4466
680	9502	4451
681	9514	4436
682	9525	4421
683	9536	4405
684	9548	4390
685	9560	4375
686	9571	4360
687	9583	4345
688	9594	4330
689	9606	4316
690	9620	4302
691	9632	4287
692	9643	4272
693	9654	4257
694	9666	4242
695	9677	4227
696	9689	4212
697	9700	4197
698	9712	4182
699	9723	4167
700	9735	4152
701	9748	4138
702	9759	4123
703	9771	4108
704	9783	4093
705	9794	4078
706	9806	4064
707	9818	4049
708	9829	4034
709	9841	4019
710	9852	4004
711	9864	3990
712	9875	3975
713	9889	3961
714	9903	3947
715	9915	3933
716	9929	3919
717	9943	3905
718	9954	3890
719	9966	3875
720	9977	3861
721	9989	3846
722	10000	3831
723	10011	3816
724	10023	3801
725	10034	3787
726	10046	3772
727	10057	3757
728	10068	3743
729	10080	3728
730	10091	3713
731	10104	3699
732	10116	3684
733	10127	3670
734	10139	3655
735	10150	3641
736	10162	3626
737	10173	3611
738	10185	3597
739	10198	3583
740	10209	3568
741	10220	3553
742	10232	3539
743	10243	3524
744	10255	3510
745	10266	3495
746	10278	3481
747	10289	3466
748	10302	3452
749	10314	3438
750	10326	3423
751	10342	3410
752	10353	3396
753	10366	3382
754	10379	3368
755	10392	3354
756	10404	3339
757	10417	3325
758	10430	3311
759	10443	3297
760	10456	3284
761	10469	3269
762	10482	3255
763	10496	3242
764	10511	3228
765	10532	3217
766	10546	3203
767	10564	3191
768	10578	3177
769	10592	3163
770	10605	3149
771	10621	3136
772	10639	3124
773	10665	3114
774	10687	3102
775	10703	3089
776	10720	3076
777	10738	3064
778	10752	3050
779	10767	3037
780	10782	3023
781	10797	3009
782	10813	2996
783	10834	2984
784	10849	2971
785	10865	2958
786	10877	2944
787	10894	2930
788	10907	2917
789	10924	2903
790	10936	2889
791	10949	2875
792	10960	2861
793	10972	2846
794	10986	2832
795	10997	2818
796	11008	2804
797	11020	2789
798	11033	2775
799	11046	2761
800	11058	2747
801	11071	2733
802	11083	2719
803	11098	2705
804	11111	2691
805	11125	2677
806	11138	2663
807	11151	2649
808	11167	2636
809	11181	2622
810	11194	2608
811	11206	2594
812	11221	2581
813	11234	2567
814	11246	2552
815	11259	2538
816	11270	2524
817	11283	2510
818	11295	2496
819	11307	2482
820	11318	2467
821	11330	2453
822	11342	2439
823	11353	2425
824	11365	2410
825	11378	2396
826	11389	2382
827	11401	2368
828	11412	2354
829	11423	2339
830	11435	2325
